name,count,followers,likes,engagement,comments
charmwayne,2,3686,426,11.56,8
erdem,2,370366,2722,0.73,12
vivobarefoot,2,92444,1813,1.96,25
palinakozyrava,2,151835,2677,1.76,75
macenzo,2,424345,9754,2.30,105
wilco,2,136891,3187,2.33,37
bystormpitts,2,29745,689,2.32,40
polinamax,2,1345124,37464,2.79,170
bobsassistant,2,68035,3542,5.21,21
samclarktattoos,2,222826,4057,1.82,41
jenjeanpierre,2,17270,402,2.33,35
vansecoo,2,150203,13377,8.91,261
katyelizabethlee,2,1679,261,15.54,5
wearetriibe,2,56846,798,1.40,10
thematenz,2,1951,108,5.54,7
shebangsspace,2,1566,73,4.66,3
lgasolina,2,166,33,19.88,1
urbanstashspotclothing,2,105808,654,0.62,11
oscar_leeee,2,686,173,25.22,11
dave.asprey,3,96812,1735,1.79,69
presnyakovvladimir,2,524324,16229,3.10,375
travel.temptations,2,32289,859,2.66,8
bill.skarsgard.godfrey,2,532,69,12.97,0
natalie,2,34898,990,2.84,12
natalia,3,796457,63371,7.96,775
cy_eats,2,191477,4756,2.48,121
fashionaguilera,2,2511,182,7.25,3
musicloveandlies,2,2131,241,11.31,25
mireiaysuscosas,2,45319,1230,2.71,8
grand_interiors_,2,70437,2782,3.95,63
lolosassdraws,2,9937,1823,18.35,19
mbusa,2,1820645,8243,0.45,18
choycewestbrook,2,158437,6044,3.81,35
georgia.pendlebury,2,13569,218,1.61,2
pbjloren,2,39869,0,0.00,0
stellalimxoxo,2,367,0,0.00,0
yumikonkon.123,2,103,39,37.86,0
cbsla,2,31434,417,1.33,13
gianluca_mgm,2,15566,290,1.86,6
jimmypolo10,2,735536,89545,12.17,2245
pattygirl03,3,91092,0,0.00,0
crossfit.islablanca.ibiza,2,19749,419,2.12,3
learn,2,6893649,36843,0.53,798
jackaverymusic,2,1162340,186144,16.01,10198
charming___fashion,2,572529,4958,0.87,48
yutafamily,3,99734,2647,2.65,22
lostswissmiss,2,33990,2976,8.76,35
lepostcard,2,54995,1232,2.24,9
princessbellaaa,2,326929,20696,6.33,572
happychappychinese,2,6602,68,1.03,2
acevedo_41,2,4044,299,7.39,8
sauce,3,18693,478,2.56,20
trixiemattel,3,979162,44318,4.53,474
mollymgoddard,2,120829,3498,2.90,20
thelostbreed,2,329848,16647,5.05,156
ayumi_tapi,2,236,65,27.54,0
_kingtrell,3,240250,8761,3.65,149
sarahschussheim,2,3614,159,4.40,9
blavity,3,237623,4699,1.98,151
chiaranonino,2,46849,455,0.97,5
primewayoflife,2,424591,11078,2.61,278
theocean,2,176395,9970,5.65,61
betterhomesandgardens,2,1200569,12889,1.07,163
diannsong,2,1801,681,37.81,26
hannahstocking,4,11283653,1254868,11.12,13105
rpdrmike,2,38193,698,1.83,31
mirkoborsche,2,20480,447,2.18,4
nadege_ndjebayi,2,18670,586,3.14,18
jnnh.jyh,2,764,0,0.00,0
rheasings,2,19351,358,1.85,19
kohinoorgasm,2,3941,430,10.91,21
patrickdempsey,2,2993718,167761,5.60,1005
alnoghair,2,39131,398,1.02,39
adrianoimperador,2,2239518,102635,4.58,1820
1201bstudios,2,1642,97,5.91,1
catch_em_all_fishing,2,194300,4780,2.46,82
xcnatch,2,71023,2913,4.10,53
hellhoundvintage,2,25056,347,1.38,7
alist.jpg,2,29549,1801,6.09,15
ramybrook,2,18552,109,0.59,0
lionwhisperersa,2,868182,38833,4.47,282
iamazingy,2,12045,172,1.43,3
taylorcatgirl,2,36411,1222,3.36,34
sazali.samad,2,16110,347,2.15,9
donny.drama,4,750195,0,0.00,0
teganandsarafoundation,2,21227,897,4.23,8
fashiolista_com,2,45884,191,0.42,2
handstylestagram,2,6816,167,2.45,2
il_consolini,2,3791,184,4.85,4
melissafindley,2,139377,4265,3.06,71
x.j82,2,1927,303,15.72,981
ylirdottir,2,397,55,13.85,0
beatsbyjblack,2,101130,1415,1.40,32
allisonmcnamara,2,38121,529,1.39,18
ben_toms,2,34367,2136,6.22,36
chynomiranda,2,5109713,29724,0.58,258
roxysowlaty,3,456873,6071,1.33,63
charliesimo,2,85186,3778,4.44,35
masha.smo,2,107064,8465,7.91,134
insidebates,2,176242,15477,8.78,221
euniciabalaj,2,15372,620,4.03,23
bethdoane,2,23019,876,3.81,43
anthonypalumboart,2,8851,1707,19.29,136
bannortoys,2,112955,410,0.36,64
gettyfashion,3,11672,248,2.12,2
chineselaundry,2,198042,432,0.22,5
violetandsophie_fureversisters,2,2134,267,12.51,2
songdani,2,653206,14807,2.27,134
courts.makeup,2,14722,1074,7.30,47
giantmouseknives,2,16750,622,3.71,5
martinalapeligrosa,2,1555252,24252,1.56,203
bedwinner,3,4814,273,5.67,3
josef_eriksson,2,19176,1025,5.35,7
jujujuxiaowen,2,487787,10651,2.18,73
seanrad,2,3824,266,6.96,10
curvesmagazin,3,18672,1320,7.07,11
santiagopgm,2,1014010,35383,3.49,143
strictlywaffles,2,49982,785,1.57,10
lidya.kalem,2,296242,9923,3.35,183
montykaplan,2,34778,3222,9.26,17
angelinadanilova,2,607870,15616,2.57,51
boutiqueballoonsmelbourne,2,105620,2038,1.93,23
oda_kesang,2,495,103,20.81,9
730_cellos,2,498,0,0.00,0
jeffprev,2,402,0,0.00,0
rayban,2,4418199,18997,0.43,75
k.sena0402,2,145,0,0.00,0
siberian_odyssey,2,82995,7664,9.23,141
lantbo,2,451394,4816,1.07,31
hungermagazine,3,135363,1099,0.81,10
tindervsreality,2,761859,0,0.00,0
jessicachastain,4,1684191,61763,3.67,407
zoerainphoto,3,63833,1497,2.35,7
riisago,2,987,108,10.94,3
aaronlevant,3,1481,0,0.00,0
leondash,2,183192,2319,1.27,21
intim_islam,2,149414,2979,1.99,40
minotti_spa,2,155933,1544,0.99,7
foodstricks,2,288196,NaN,NaN,NaN
mayemusk,2,116925,4884,4.18,82
tamox_0717,2,240,51,21.25,0
starino,2,94012,2389,2.54,62
fimmeltravis,3,909288,75474,8.30,620
umindi360,2,5532,266,4.81,11
_alexlupo,2,18913,1360,7.19,24
p_l_a_n_t.gang,2,1399,175,12.51,4
buddha_pants,2,44919,688,1.53,14
norah.photographer,3,19926,378,1.90,4
thenovogratz,2,81384,475,0.58,6
vitalyrata,2,382,68,17.80,0
juliablack_photographer,2,19234,590,3.07,6
tangleandthyme,2,4400,405,9.20,34
mukulresort,2,14898,333,2.24,9
wadergirl,2,1434,131,9.14,6
thechicvibe,2,14507,1195,8.24,64
caraskitchen,2,22819,1269,5.56,72
imseanavery,2,44901,1377,3.07,33
reneesomerfield,3,1834077,38689,2.11,340
linanaeh,3,255,0,0.00,0
jcbagriculture,2,89079,5615,6.30,8
katespadeny,3,2306851,31459,1.36,317
sergey_kosenko,3,609487,26046,4.27,645
bill.is.life,2,388,148,38.14,6
dualvoyage,2,32674,2193,6.71,127
fem.inist,2,155074,22283,14.37,510
therealtank,3,1053564,13716,1.30,751
real.ona,3,601437,87777,14.59,1141
lovestoriesintimates,2,133003,2000,1.50,6
dd_dlyamalchikov,2,8067,678,8.40,0
little_magpie1,2,133005,5681,4.27,81
noemiiiiiiiiiie,2,2978,392,13.16,5
mariusdevries,2,1178,76,6.45,4
hamster_lifestyle,2,3508,431,12.29,6
vincentazz,2,122416,1764,1.44,13
sinematvsendikasi,2,6628,174,2.63,1
yvra_1958,2,5698,148,2.60,2
ahmad.aimann,2,443,83,18.74,3
nanami023,2,232260,11130,4.79,18
callmelore,2,13124,335,2.55,14
10barrelbrewing,2,41659,605,1.45,7
dagocafonal,2,113063,203,0.18,11
