rank,move,country,age,points,tournaments,fetch_name,followers,username,full_name,profile_pic_url,is_verified,is_private,id,name
692,△2,UKR,20,29,11,Anastasiya Shoshyna,489,nastya_shoshyna,Anastasiya Shoshyna,https://scontent-lga3-1.cdninstagram.com/vp/5d100360500a136ecad618a53dd8893e/5B5907E3/t51.2885-19/s150x150/23279686_254803355048135_3310047517395124224_n.jpg,false,false,143785857,Anastasiya Shoshyna
693,△2,ITA,25,29,12,Federica Arcidiacono,861,fedarci,Federica Arcidiacono,https://scontent-lga3-1.cdninstagram.com/vp/686564f32110eb41498ced562017af50/5B6CD694/t51.2885-19/s150x150/26072549_742061525983819_5559248012577865728_n.jpg,false,false,38556734,Federica Arcidiacono
694,△2,FRA,24,29,15,Josephine Boualem,9180,josephineboualem,JOSEPHINE BOUALEM,https://scontent-lga3-1.cdninstagram.com/vp/3d223665789c4b07a4140981e20c4ce9/5B633C5F/t51.2885-19/s150x150/16908779_1359053530849721_8198899144211824640_a.jpg,false,false,4460386867,Josephine Boualem
695,△8,CAM,25,29,16,Andrea Ka,23511,karenaraya8,Karen Andrea Araya Ponce,https://scontent-lga3-1.cdninstagram.com/vp/34fc0fe4b70e1db01100e2710a3a6028/5B597820/t51.2885-19/11820534_963512730367675_321249559_a.jpg,true,false,288028337,Andrea Ka
696,△1,GER,23,29,16,Katharina Hering,4039,kathaaaher,Katharina Hering,https://scontent-lga3-1.cdninstagram.com/vp/d3515fad6148de94e015508933d43590/5B980E9D/t51.2885-19/s150x150/29418173_2080390008907047_8104153729030160384_n.jpg,false,false,2940846180,Katharina Hering
697,▽4,SUI,19,28,10,Arlinda Rushiti,639,arlindarushiti,Arlinda Rushiti,https://scontent-lga3-1.cdninstagram.com/vp/72dcdbae8c2a589d9cc8c0c525aa5461/5B690B82/t51.2885-19/s150x150/29414893_1458858860890466_3619495311161950208_n.jpg,false,true,371011417,Arlinda Rushiti
699,0,SRB,23,28,14,Tamara Curovic,2319,_atalanta__,Tamara Čurović,https://scontent-lga3-1.cdninstagram.com/vp/fe44b72c5a7b97659490ab294c255d39/5B987E7C/t51.2885-19/s150x150/29415278_147018182796992_1563850257362583552_n.jpg,false,false,2017892380,Tamara Curovic
700,0,ROU,22,28,15,Cristina Ene,1872,cristinaenea,Cristina Enea,https://scontent-lga3-1.cdninstagram.com/vp/58a03d46828368721864d557e6f56a22/5B9BD230/t51.2885-19/s150x150/14359409_1202698096457732_398144958_a.jpg,false,false,9657681,Cristina Ene
701,0,CZE,28,28,15,Katerina Vankova,261,katerina_vankova,Katerina Vankova,https://scontent-lga3-1.cdninstagram.com/vp/92b5145f252c838beaa754e88af8b9fe/5B97F8C1/t51.2885-19/s150x150/14624747_146401352489196_9016950234957217792_a.jpg,false,false,145705290,Katerina Vankova
702,△2,ARG,21,28,16,Guillermina Naya,3090,guillerminanaya,Guillermina Naya.,https://scontent-lga3-1.cdninstagram.com/vp/15ce66c16609e4790f3bd8467f0ff859/5B706B78/t51.2885-19/s150x150/29088499_102853363892034_5989385362319867904_n.jpg,false,false,1137366712,Guillermina Naya
703,△2,CZE,23,28,18,Gabriela Pantuckova,9930,gabriela_pantuckova,Gabriela Pantůčková,https://scontent-lga3-1.cdninstagram.com/vp/09c5a15a0afe7df0be47f6f09513a53a/5B549B5F/t51.2885-19/s150x150/29403574_436827106770863_5462505132660883456_n.jpg,false,false,6206688632,Gabriela Pantuckova
704,△3,ROU,29,27,11,Daiana Negreanu,738,daiana.negreanu,Daiana Negreanu,https://scontent-lga3-1.cdninstagram.com/vp/652eb8363f0650315ebe0e88de7563d4/5B6ED808/t51.2885-19/s150x150/28427070_2007784842813048_4804539335737081856_n.jpg,false,true,419388520,Daiana Negreanu
705,△3,GER,21,27,13,Yana Morderger,930,yanusik_97_,Yana Morderger,https://scontent-lga3-1.cdninstagram.com/vp/3ce261167fc7bd3d2ecc3493724603cd/5B7B0D3F/t51.2885-19/s150x150/30830316_378567265962868_6301343899478654976_n.jpg,false,false,1500746106,Yana Morderger
706,△10,UKR,22,27,14,Yuliya Lysa,27,yuliya.lysa,Yuliya Lysa,https://scontent-lga3-1.cdninstagram.com/vp/ffab3bf583635bc6b7879cc8bfef6a6d/5B6202B5/t51.2885-19/s150x150/29416636_234911803733782_699047640146378752_n.jpg,false,false,7423428262,Yuliya Lysa
707,△2,GBR,20,26,6,Emily Arbuthnott,952,emilyarbuthnott,Emily Arbuthnott,https://scontent-lga3-1.cdninstagram.com/vp/6f25354b9c240076611a80d1f6c61c73/5B61A19A/t51.2885-19/s150x150/24331940_363910167402084_605164297915465728_n.jpg,false,false,539081624,Emily Arbuthnott
708,△2,BEL,20,26,8,Greet Minnen,6,greetminnen,Tennis Is My Life ❤,https://scontent-lga3-1.cdninstagram.com/vp/30fae98b9559251f1733b485ef94f6bc/5B78A7C6/t51.2885-19/11311233_743878572405651_1855226172_a.jpg,false,true,374601749,Greet Minnen
709,△2,CZE,18,26,8,Johana Markova,656,johymarkova,Johana Marková,https://scontent-lga3-1.cdninstagram.com/vp/cd7e5499d480e190ea46d83a939dacff/5B681695/t51.2885-19/s150x150/18581066_657035977824058_7159795290856226816_a.jpg,false,false,303379974,Johana Markova
710,▽4,USA,26,26,8,Brynn Boren,1,brynnboren,Brynn Boren,https://scontent-lga3-1.cdninstagram.com/vp/559e6286c4695357a4fda6a561b4e993/5B5E844A/t51.2885-19/10948294_897005597030364_1396620077_a.jpg,false,false,1668633069,Brynn Boren
711,△1,USA,20,26,9,Kennedy Shaffer,86,kennedy.____.shaffer,Įmmørtäł Fręåk,https://scontent-lga3-1.cdninstagram.com/vp/f88ca2900f55c1fc1e0266ec40797d93/5B9C9322/t51.2885-19/s150x150/28430541_2042525846026323_6639195776557776896_n.jpg,false,true,6815289081,Kennedy Shaffer
712,△1,POL,22,26,11,Natalia Siedliska,779,natalicious.__,Natalia Siedliska,https://scontent-lga3-1.cdninstagram.com/vp/389f35e8cae9cb0aee8233a7192e1ddc/5B5D6B60/t51.2885-19/s150x150/23279282_1975074312737501_3937486666758881280_n.jpg,false,false,276472735,Natalia Siedliska
713,△1,CZE,21,26,11,Vendula Zovincova,583,vendiezovi,Vendula Zovincova,https://scontent-lga3-1.cdninstagram.com/vp/f6a1e52dea442a51fd2c9b1f7f343ed7/5B5BC51A/t51.2885-19/s150x150/17125720_1857568571178110_1568214562610610176_a.jpg,false,true,26272934,Vendula Zovincova
714,△11,RUS,29,26,11,Angelina Gabueva,197,angelinagabueva,Angel,https://scontent-lga3-1.cdninstagram.com/vp/298b13e298ca3804d11a4c2f118e59d0/5B6FA824/t51.2885-19/s150x150/27578626_1386994541412700_1912288842279288832_n.jpg,false,true,202737705,Angelina Gabueva
715,0,CZE,26,26,12,Gabriela Horackova,102,horackova.gabriela,Gabriela Horackova,https://scontent-lga3-1.cdninstagram.com/vp/d83e95a6d41d0aeec6f43b55c2ef64df/5B64240A/t51.2885-19/s150x150/21569079_1929923603925343_4844167173616173056_a.jpg,false,true,5460851739,Gabriela Horackova
716,△1,CHN,19,25,6,Xinyu Jiang,62,yo1tsrainie,蒋欣雨Xinyu Jiang 🌧️,https://scontent-lga3-1.cdninstagram.com/vp/ef914ad9fa07403ad3a8621b5d1fb6a0/5B6ECCDA/t51.2885-19/s150x150/22221178_1487125804666997_5130880558729003008_n.jpg,false,false,3322787668,Xinyu Jiang
717,△2,FRA,22,25,10,Lea Tholey,19719,tylerlea398,Tyler-lea Thorley,https://scontent-lga3-1.cdninstagram.com/vp/50a3bfd119f860c2b2168d3600e9b10c/5B7690A4/t51.2885-19/s150x150/26152799_395328970925826_1415140772834967552_n.jpg,false,false,1538937680,Lea Tholey
719,△2,JPN,18,25,4,Mei Yamaguchi,2579,v.vmeimma,Mei “V.V” Yamaguchi,https://scontent-lga3-1.cdninstagram.com/vp/6147681b4002550ab5557fd004b3a48b/5B667AD2/t51.2885-19/10747747_553293028136555_1688826800_a.jpg,true,false,1404222209,Mei Yamaguchi
720,△2,SVK,20,25,5,Sandra Jamrichova,516,sandrajamrichova,Sandra Jamrichova,https://scontent-lga3-1.cdninstagram.com/vp/e13fb96c9c268f24eabfd77adce6c1a7/5B6D270F/t51.2885-19/s150x150/30079663_2022821701374620_4490791811555524608_n.jpg,false,true,4196122572,Sandra Jamrichova
721,△2,JPN,24,25,6,Megumi Nishimoto,1782,meguminishimoto,Megumi Nishimoto,https://scontent-lga3-1.cdninstagram.com/vp/0bbf6c439197962b472d6234a8cb9934/5B6784D7/t51.2885-19/s150x150/18811950_158795254659293_4264098386791104512_a.jpg,false,false,1953522240,Megumi Nishimoto
722,△2,ESP,24,25,7,Ainhoa Atucha Gomez,1400,atuchova,Ainhoa Atucha Gomez,https://scontent-lga3-1.cdninstagram.com/vp/4c200c15e8fb6d4be1f5a99968bc0716/5B546DD7/t51.2885-19/s150x150/28434287_179862069467007_3484263747541794816_n.jpg,false,false,286819030,Ainhoa Atucha Gomez
723,△8,RUS,18,25,8,Daria Nazarkina,30,darianazarkina,Дарья Назаркина,https://scontent-lga3-1.cdninstagram.com/vp/943ae7970924e03550154c05279f43a7/5B6C8067/t51.2885-19/s150x150/14596651_887407011394703_559746135451762688_a.jpg,false,true,3024533805,Daria Nazarkina
724,△12,USA,19,25,11,Jada Robinson,26,robinson.jada,jada robinson,https://scontent-lga3-1.cdninstagram.com/vp/4726e03750c399f00be144739a4ef95c/5B6F7DEF/t51.2885-19/11280040_851502624926286_33278155_a.jpg,false,false,1998129466,Jada Robinson
725,△1,ROU,23,25,12,Gabriela Duca,292,gabrieladuca,Gabriela Duca,https://scontent-lga3-1.cdninstagram.com/vp/103b7fbcc86fc701473e655f442c659c/5B5D2065/t51.2885-19/s150x150/22639036_127953547867073_1653263397631819776_n.jpg,false,true,328322745,Gabriela Duca
728,0,NED,29,24,3,Michaella Krajicek,7373,misakrajicek,𝕄𝕚𝕔𝕙𝕒ë𝕝𝕝𝕒 𝕂𝕣𝕒𝕛𝕚𝕔𝕖𝕜,https://scontent-lga3-1.cdninstagram.com/vp/59ebb8364a8b1631120c33fc506e6de7/5B5A140B/t51.2885-19/s150x150/26286972_421701244954705_671226259342098432_n.jpg,false,false,231703281,Michaella Krajicek
729,0,DEN,15,24,4,Clara Tauson,1497,claratauson,Clara Tauson,https://scontent-lga3-1.cdninstagram.com/vp/cf7980db6ac3c99f6edfe5a3f7f1a8b4/5B5B5697/t51.2885-19/s150x150/24177805_263876244137939_5557080986828668928_n.jpg,false,false,1556240601,Clara Tauson
730,0,USA,18,24,6,Nicole Coopersmith,77,nicolecoopersmith,Nicole Coopersmith,https://scontent-lga3-1.cdninstagram.com/vp/7b4fe7851a11e99d8cca8e89d125ad6e/5B648ECE/t51.2885-19/s150x150/13166818_1683947521855948_668581281_a.jpg,false,false,3245824065,Nicole Coopersmith
731,△1,RUS,21,24,7,Ksenia Laskutova,338,kclas1996,Ksenia Laskutova,https://scontent-lga3-1.cdninstagram.com/vp/d9e6201fbe593f204fcfcabba2a1e6f1/5B5C7624/t51.2885-19/s150x150/30086791_585941641786407_3421790476104105984_n.jpg,false,true,2348507402,Ksenia Laskutova
732,△1,UKR,31,24,9,Veronika Kapshay,318,veronika_kapshay,Veronika Kapshay,https://scontent-lga3-1.cdninstagram.com/vp/12d0a4e0191fb9a227d38493315897b1/5B77E208/t51.2885-19/s150x150/19534648_311693445945795_497149224790523904_a.jpg,false,true,5667263022,Veronika Kapshay
732,△1,NOR,18,24,9,Malene Helgo,3271,malenehelgo,M A L E N E   H E L G Ø🤘🏽,https://scontent-lga3-1.cdninstagram.com/vp/68b22ddc6b1f2547a65fbbbbbcc58d48/5B69C674/t51.2885-19/s150x150/29403662_419271351851418_7112464480671367168_n.jpg,false,false,268450757,Malene Helgo
734,△1,ESP,21,24,10,Maria Jose Luque Moreno,72,mariajoseluquemoreno,Maria Jose Luque Moreno,https://scontent-lga3-1.cdninstagram.com/vp/a3653abf3e95acf5078cc8b72a4abd5d/5B5B9FF0/t51.2885-19/s150x150/13687118_623995347774555_1833533070_a.jpg,false,false,3612138396,Maria Jose Luque Moreno
735,△2,CRO,22,24,11,Iva Primorac,2026,itsivaemma,Iva Primorac,https://scontent-lga3-1.cdninstagram.com/vp/69931a7427d8cf941f4804f90738718c/5B984E6A/t51.2885-19/s150x150/28429377_2009819849283560_6821304442902544384_n.jpg,false,false,1581169913,Iva Primorac
736,△2,BRA,26,24,13,Eduarda Piai,476,eduardasammpaio,S a m p a i o ™🔥,https://scontent-lga3-1.cdninstagram.com/vp/52be2ef127bfd895af3b4cc3c5649c88/5B60D67C/t51.2885-19/s150x150/30087109_153693938658645_7081572142415872_n.jpg,false,true,7308093356,Eduarda Piai
737,△2,RUS,27,24,13,Margarita Lazareva,2015,margarita_lazareva_,💣LADYMENTHOR🚀КОУЧ👠СТИЛИСТ💕,https://scontent-lga3-1.cdninstagram.com/vp/d8c2c4d2e65c3aab4e81d04a4d978ee8/5B6A6A91/t51.2885-19/s150x150/27892120_349154595604296_7007764916140507136_n.jpg,false,false,346794151,Margarita Lazareva
738,△2,ARG,27,24,13,Carla Lucero,1523,carlitalitalita,Carla Lucero,https://scontent-lga3-1.cdninstagram.com/vp/64cfca1ddb256ca2ea20f7d20634d78e/5B6341B4/t51.2885-19/s150x150/20181426_351431521956087_1693702005077311488_a.jpg,false,false,1508657353,Carla Lucero
739,△2,TPE,33,23,3,Chia-Jung Chuang,50,cj_c_1234,Chia-Jung Chuang,https://scontent-lga3-1.cdninstagram.com/vp/bea36b0fe2ac5a473a1dc0b2d8094c60/5B6C6931/t51.2885-19/s150x150/25012351_1805493996141057_3138822031890448384_n.jpg,false,false,6785768911,Chia-Jung Chuang
740,△2,SUI,25,23,5,Xenia Knoll,1238,xenia_knollic,Xenia Knoll,https://scontent-lga3-1.cdninstagram.com/vp/42b43eb4d71b858da5a7f5dca961d086/5B633974/t51.2885-19/s150x150/26156332_796981040507643_4076522321567809536_n.jpg,false,false,269033861,Xenia Knoll
741,△2,RUS,28,23,10,Alona Fomina,3180,alonafomina1,Alona Fomina,https://scontent-lga3-1.cdninstagram.com/vp/262338fbc6c984e490c29964c416f44b/5B591AB5/t51.2885-19/s150x150/19761236_260468554439211_5119520516259971072_a.jpg,false,false,534106109,Alona Fomina
742,△2,ROU,22,23,6,Gabriela Talaba,142,gabrielatalaba,Talaba Gabriela,https://scontent-lga3-1.cdninstagram.com/vp/73b131d540b9c9b281d185a15163911a/5B639C94/t51.2885-19/s150x150/19436965_1023568351111934_7584146031160328192_a.jpg,false,false,5650146126,Gabriela Talaba
743,△2,USA,17,23,7,Salma Ewing,1250,salma_ewing,Salma Ewing,https://scontent-lga3-1.cdninstagram.com/vp/eb555fb1eb79ff825842169c3c5517d5/5B67AE09/t51.2885-19/s150x150/29090275_2164952436849024_6807913211614986240_n.jpg,false,false,292181024,Salma Ewing
744,△2,ESP,20,23,7,Maria Gutierrez Carrasco,16,mariacarrascogutierrez,María Carrasco Gutierrez,https://scontent-lga3-1.cdninstagram.com/vp/da5f43e263141826e34ab7655f672fa4/5B6B45F5/t51.2885-19/s150x150/16585342_168267857000463_1572947457657012224_a.jpg,false,false,4623669197,Maria Gutierrez Carrasco
745,△2,BLR,19,23,8,Nika Shytkouskaya,307,nika_shytkouskaya,,https://scontent-lga3-1.cdninstagram.com/vp/925876cc2b56dc16b2408124dfab581f/5B6AD080/t51.2885-19/s150x150/25035761_1983956605210590_3964335503758589952_n.jpg,false,true,43112338,Nika Shytkouskaya
747,△4,BLR,17,23,11,Shalimar Talbi,339,shalimar_talbi,Shalimar Talbi,https://scontent-lga3-1.cdninstagram.com/vp/c1fb7c316df51a886bf40a1d9c350383/5B5A0A47/t51.2885-19/s150x150/14726364_124951031309237_2676507929628114944_a.jpg,false,false,1927814449,Shalimar Talbi
748,△4,ROU,21,23,11,Andreea Ghitescu,313,andreeaghitescu,Andreea Ghitescu,https://scontent-lga3-1.cdninstagram.com/vp/0eede2ffaf9eda5346f354b24250b452/5B6C4907/t51.2885-19/s150x150/20687333_300122813794045_2644763096198938624_a.jpg,false,false,3651335041,Andreea Ghitescu
749,△18,USA,25,23,13,Shelby Talcott,106,shelbytalcott,Shelby Talcott,https://scontent-lga3-1.cdninstagram.com/vp/3012b7b7d6401d21dba432aa09cf6acc/5B6DF725/t51.2885-19/s150x150/14719823_1711882342465656_8038914258135678976_a.jpg,false,false,4076715284,Shelby Talcott
750,△3,SVK,28,23,14,Zuzana Zlochova,1119,zuzanazlochova,Zuzana Zlochova,https://scontent-lga3-1.cdninstagram.com/vp/859b6e3972da96e0df09ead9b0729fe9/5B5A1C91/t51.2885-19/s150x150/29403732_469669956799073_4849456683539234816_n.jpg,false,false,262382096,Zuzana Zlochova
751,△3,JPN,18,23,14,Haruna Arakawa,1543,haruna_arakawa,Haruna Arakawa,https://scontent-lga3-1.cdninstagram.com/vp/2a6952f72c7fe18d0e0aef50be41e845/5B9D70D2/t51.2885-19/s150x150/28752717_277221356146596_6723679527026819072_n.jpg,false,false,1608478531,Haruna Arakawa
752,△3,ITA,20,23,14,Verena Hofer,518,verenahofer,Verena,https://scontent-lga3-1.cdninstagram.com/vp/36f4caf4d9524559a3e8338616686605/5B999F6E/t51.2885-19/s150x150/26157476_173926349873619_3125127090580488192_n.jpg,false,false,244525172,Verena Hofer
753,△3,ARG,20,23,15,Melany Krywoj,4,melanykrywoj98,mel krywoj,https://instagram.fcgk9-2.fna.fbcdn.net/vp/f17e1275a70fc32e93cbf434ddc32bcd/5B6CCC7A/t51.2885-19/11906329_960233084022564_1448528159_a.jpg,false,false,4146915799,Melany Krywoj
754,△3,CRO,18,22,10,Ana Biskic,651,biskicana,Ana Biškić,https://scontent-lga3-1.cdninstagram.com/vp/523d5c233c3167cb346f86a0512a9e99/5B56EA7B/t51.2885-19/s150x150/30087821_194364024687604_1875551044944003072_n.jpg,false,false,1298642751,Ana Biskic
755,▽37,USA,24,22,5,Nicole Melichar,1743,nicolemelichar,Nicole Melichar,https://scontent-lga3-1.cdninstagram.com/vp/f72a0fa170f924bec4aca888787a60ad/5B9C53F2/t51.2885-19/s150x150/14723122_1100491780066749_9153851127811276800_a.jpg,false,false,278764898,Nicole Melichar
756,△3,SWE,20,22,10,Kajsa Rinaldo Persson,555,kajsarinaldo,Kajsa Rinaldo Persson,https://scontent-lga3-1.cdninstagram.com/vp/410360c3eee9ac1531660bed8b1e151c/5B9CEAED/t51.2885-19/s150x150/13385820_1610444152600975_1260528465_a.jpg,false,false,52907059,Kajsa Rinaldo Persson
757,△3,CHN,25,22,11,Ran Meng,2032,ranran__momo,爛々🔛萌々🎱,https://scontent-lga3-1.cdninstagram.com/vp/c16ff5409d38c859c5ab6bb087c2d1d3/5B621A99/t51.2885-19/s150x150/18721788_725825390955666_2919845117168713728_a.jpg,false,false,5528398115,Ran Meng
758,△3,HKG,21,22,5,Eudice Chong,1030,eudicechong,eudice chong,https://scontent-lga3-1.cdninstagram.com/vp/e681eaa45e2a6041ffc2a12689285034/5B63FB88/t51.2885-19/s150x150/26066173_163095994418619_5016550049727905792_n.jpg,false,true,219144119,Eudice Chong
759,△3,USA,19,22,5,Raveena Kingsley,1936,raveena10is,Raveena Kingsley,https://scontent-lga3-1.cdninstagram.com/vp/ed944f8fa1ab396c55764fb4bd88cdab/5B63CF45/t51.2885-19/s150x150/26073432_401243273646959_5650646789242486784_n.jpg,false,true,445920082,Raveena Kingsley
760,△3,SRB,17,22,6,Draginja Vukovic,4,draginjavukovic,Draginja Vukovic,https://scontent-lhr3-1.cdninstagram.com/vp/f17e1275a70fc32e93cbf434ddc32bcd/5B6CCC7A/t51.2885-19/11906329_960233084022564_1448528159_a.jpg,false,false,1493884063,Draginja Vukovic
761,△3,CZE,17,22,8,Aneta Kladivova,76,kladivovaaneta,Aneta Kladivová,https://scontent-lga3-1.cdninstagram.com/vp/4f9759232a9c6427d1a87b680dc3b3bd/5B62D1F2/t51.2885-19/s150x150/14562051_1745324515795855_8596610719229673472_n.jpg,false,false,1960204949,Aneta Kladivova
762,▽12,USA,24,22,9,Jessica Wacnik,872,wacnikk,Jessica Wacnik,https://scontent-lga3-1.cdninstagram.com/vp/38bc6d9ecb257b6f97c3f47a8b388959/5B5CF744/t51.2885-19/s150x150/18300237_1794073067575197_5948304305076305920_a.jpg,false,false,196815178,Jessica Wacnik
763,△9,SRB,25,22,10,Barbara Bonic,4418,bonicbarbara,Barbara Bonic,https://scontent-lga3-1.cdninstagram.com/vp/bd8cdbea56e80afe86d3c0d2e48f87bf/5B624533/t51.2885-19/s150x150/26872087_191500244769401_5735227769181175808_n.jpg,false,false,563380730,Barbara Bonic
764,△1,POR,18,22,10,Francisca Jorge,452,franciscajorge,Francisca Mota Jorge,https://scontent-lga3-1.cdninstagram.com/vp/2ac3fc7487f6c4925940c5f5723f82c2/5B6228B1/t51.2885-19/1922375_1629299907302754_217714376_a.jpg,false,true,275441098,Francisca Jorge
766,△2,BUL,19,22,13,Petia Arshinkova,640,petiaarshinkova,petiaarshinkova,https://scontent-lga3-1.cdninstagram.com/vp/b0f834933868141b7335a406bf5ba1af/5B6EB2D1/t51.2885-19/s150x150/27578732_1718840231496210_3882802971347517440_n.jpg,false,true,799868497,Petia Arshinkova
767,△10,BLR,29,21,5,Olga Govortsova,81,olga_fan_club,Olga Govortsova,https://scontent-lga3-1.cdninstagram.com/vp/22605b75a15182577a7659db661da3b3/5B5F66F8/t51.2885-19/11875599_873914152703764_237429296_a.jpg,false,false,506648711,Olga Govortsova
768,▽10,CHN,21,21,9,Jiaxi Lu,13,jiaxilu,Jiaxi,https://scontent-lga3-1.cdninstagram.com/vp/e18ca3ee4ac89188ba88b6e661550c46/5B5D2B4E/t51.2885-19/10375640_641707392589709_1344665830_a.jpg,false,false,1337788042,Jiaxi Lu
769,0,IRL,23,21,3,Sinead Lohan,1911,sinead_lohan,Sinead Lohan,https://scontent-lga3-1.cdninstagram.com/vp/9cd7cbc18944043881c722730f52d61f/5B54300D/t51.2885-19/s150x150/28151327_1625624667475375_421680241308598272_n.jpg,false,true,1699727032,Sinead Lohan
770,0,RUS,18,21,6,Polina Bakhmutkina,715,pollybks,ᴘᴏʟɪɴᴀ ʙᴀᴋʜᴍᴜᴛᴋɪɴᴀ,https://scontent-lga3-1.cdninstagram.com/vp/1bff8605b1dd729e015bf7ea02f2802f/5B6567AC/t51.2885-19/s150x150/16790399_383837265307179_320620167639859200_a.jpg,false,false,298183050,Polina Bakhmutkina
771,0,JPN,19,21,6,Kumi So,77,kumi__sora,𓇼Kumi𓇼,https://scontent-lga3-1.cdninstagram.com/vp/55b46cb013d9efc887a2878b939eba09/5B6A142D/t51.2885-19/s150x150/15337327_1463002093717441_4754559918005026816_a.jpg,false,false,1451469497,Kumi So
772,△11,RUS,20,21,7,Valeriya Urzhumova,818,valeriyaurzhumova,Valeriya Urzhumova,https://scontent-lga3-1.cdninstagram.com/vp/89856ab53fda8d83ebc61c4ffe6723a1/5B64F305/t51.2885-19/s150x150/26868528_160800387801706_1018135105756987392_n.jpg,false,false,212604760,Valeriya Urzhumova
773,▽1,FRA,22,21,9,Lou Adler,117,lou.adler,Lou Adler,https://scontent-lga3-1.cdninstagram.com/vp/0255c875e2bdd2a5990c3886aeea78cc/5B5584AE/t51.2885-19/s150x150/24274011_1274814689290289_7133014151131037696_n.jpg,false,true,1698830344,Lou Adler
774,0,USA,22,21,9,Kana Daniel,123,kanadaniel,Kana Daniel,https://scontent-lga3-1.cdninstagram.com/vp/fe1c97ed011944e13e7ce181aaedde00/5B5C4969/t51.2885-19/11856558_845548508896738_144844024_a.jpg,false,false,494399050,Kana Daniel
775,0,JPN,21,21,9,Yukina Saigo,601,yukina_saigo,Saigo Yukina,https://scontent-lga3-1.cdninstagram.com/vp/7295b77a302fb11b56ab8d45e5ae1d7a/5B6C8CCA/t51.2885-19/s150x150/25036298_666113053777655_4322824380867411968_n.jpg,false,false,1245516886,Yukina Saigo
777,△1,CHN,18,20,10,Yanni Liu,8,yanni__liu,yanni_Liu,https://scontent-lga3-1.cdninstagram.com/vp/33584518ff1ede797aa6053927e3ab8b/5B572CA5/t51.2885-19/s150x150/14350460_214607752289204_8198056999909326848_a.jpg,false,false,257024203,Yanni Liu
778,△1,USA,28,20,5,Ashley Weinhold,738,ashleyweinhold,ashleyweinhold,https://scontent-lga3-1.cdninstagram.com/vp/7cec78d3a5fb0421954400071f68016c/5B6DBE3C/t51.2885-19/s150x150/14368975_1806662886269847_1970700932_a.jpg,false,false,2166206,Ashley Weinhold
779,△1,EGY,21,20,4,Mayar Sherif,1206,mayarsherif,Mayar Sherif,https://scontent-lga3-1.cdninstagram.com/vp/d56b27fd1ac7f7dc0490778767300ae6/5B6FAB92/t51.2885-19/s150x150/23825046_149304429041770_1316155335873921024_n.jpg,false,true,313295394,Mayar Sherif
780,△1,SLO,20,20,5,Manca Pislak,525,mancapislak,Manca Pislak,https://scontent-lga3-1.cdninstagram.com/vp/9750e8879d25b0efebd4eb5099a8c916/5B639003/t51.2885-19/s150x150/22636877_2000743703538052_8619907008390234112_n.jpg,false,false,241541099,Manca Pislak
781,▽152,GBR,27,20,6,Amanda Carreras,75,_amandacarreras,Amanda Carreras,https://scontent-lga3-1.cdninstagram.com/vp/dd0ae409ffd991252e983558b17ed7e7/5B653FA8/t51.2885-19/s150x150/28750836_154351531917910_5095214411568644096_n.jpg,false,true,7295799803,Amanda Carreras
782,△2,ITA,20,20,6,Bianca Turati,702,turatibianca,Bianca Turati,https://scontent-lga3-1.cdninstagram.com/vp/80051c0795ce6894280b900827f95c29/5B552989/t51.2885-19/s150x150/28152962_146877592659200_1481271659896766464_n.jpg,false,false,4245402882,Bianca Turati
783,△2,CZE,18,20,7,Tereza Prochazkova,2512,terezap_on_da_ig,Tereza Procházková,https://scontent-lga3-1.cdninstagram.com/vp/15e0417dce23c44f01d84a192a9ab057/5B9C807B/t51.2885-19/s150x150/23734651_311204979395010_1965481247736070144_n.jpg,false,false,45618407,Tereza Prochazkova
784,△23,UZB,18,20,7,Komola Umarova,75,komola.umarova,Umarova Komola,https://scontent-lga3-1.cdninstagram.com/vp/81d06cdd81858600b80a6ba2f1beb0c9/5B61D80D/t51.2885-19/12530900_1042567299160685_931757322_a.jpg,false,false,2341798504,Komola Umarova
785,△1,LAT,17,20,7,Daniela Vismane,1138,danielavismane,Daniela Adrija Vismane,https://scontent-lga3-1.cdninstagram.com/vp/974da3d1f8d69e1988ddb7a1479f805d/5B63D398/t51.2885-19/s150x150/26157902_1876444432667558_5133926098563760128_n.jpg,false,false,851704015,Daniela Vismane
786,△1,SWE,24,20,8,Brenda Njuki,162,brendiilizzl,Brenda Njuki,https://scontent-lga3-1.cdninstagram.com/vp/7f90786c60bf27e8da164994a5566a1c/5B6A74CC/t51.2885-19/s150x150/15876260_1325750510780149_2294290182842613760_a.jpg,false,true,4347824979,Brenda Njuki
787,△22,USA,19,20,9,Dominique Schaefer,422,dominiqueschaefer,Dominique Schaefer,https://scontent-lga3-1.cdninstagram.com/vp/5f7ebfc7fa1203624eee137eb2d84fad/5B6C5CD8/t51.2885-19/s150x150/13269351_1728695694011747_1349457455_a.jpg,false,false,191851565,Dominique Schaefer
789,△1,UKR,25,20,10,Nadiya Kolb,421,nadyakolb,Nadiya Kolb,https://scontent-lga3-1.cdninstagram.com/vp/6c27aaa0b89e600ca1517e41c97f539f/5B63A7AF/t51.2885-19/s150x150/25023549_1625176164216053_2985402222369570816_n.jpg,false,false,1352171863,Nadiya Kolb
