rank,move,country,age,points,tournaments,fetch_name,followers,username,full_name,profile_pic_url,is_verified,is_private,id,name
44,0,USA,19,1175,20,Catherine Bellis,909,catherine_bellis,Catherine Bellis,https://scontent-lga3-1.cdninstagram.com/vp/abf866c28264d08ce48d87d9e56fb6bd/5B9B7F53/t51.2885-19/10598691_907769995903159_1450011743_a.jpg,false,false,1469386758,Catherine Bellis
45,0,USA,24,1137,27,Danielle Collins,11705,danimalcollins,Danielle Collins,https://scontent-lga3-1.cdninstagram.com/vp/4aca46a244fe6d84ae82f17cad0195e7/5B67167D/t51.2885-19/s150x150/29416702_360310921043255_3518018483931578368_n.jpg,false,false,2535296418,Danielle Collins
46,0,SUI,28,1132,12,Timea Bacsinszky,46393,timea.official,Timea Bacsinszky,https://scontent-lga3-1.cdninstagram.com/vp/c01baf8152aa070d1818fe96a89ccc7a/5B6D049F/t51.2885-19/s150x150/22352278_657726071087991_2055521822597709824_n.jpg,true,false,2237274873,Timea Bacsinszky
47,0,BLR,19,1128,23,Aryna Sabalenka,20601,sabalenka_aryna,Aryna Sabalenka,https://scontent-lga3-1.cdninstagram.com/vp/4b28345157cb55d7144acff92b18da15/5B6E21A9/t51.2885-19/s150x150/26866274_173133296633137_8596162225859723264_n.jpg,false,false,700634530,Aryna Sabalenka
48,△1,GRE,22,1117,25,Maria Sakkari,33008,sakkattack7,Maria Sakkari,https://scontent-lga3-1.cdninstagram.com/vp/8579f2b77859b867db4f15862a771989/5B675827/t51.2885-19/s150x150/13248821_516767191855896_1172396856_a.jpg,true,false,50045444,Maria Sakkari
49,△1,BEL,24,1116,22,Alison Van Uytvanck,1747,alison_van_uytvanck,Alison Van Uytvanck,https://scontent-lga3-1.cdninstagram.com/vp/3f62d941a37ccc76495cb4db5e90c789/5B543428/t51.2885-19/s150x150/21689971_115194692508754_6222675444534083584_n.jpg,false,false,1703373861,Alison Van Uytvanck
50,△1,CZE,31,1088,18,Lucie Safarova,177423,lucie.safarova,Lucie Safarova,https://scontent-lga3-1.cdninstagram.com/vp/723a07037c60cf168430ebaded405edf/5B5FCC1C/t51.2885-19/11357886_845939768827773_172709361_a.jpg,true,false,47763821,Lucie Safarova
51,△1,CZE,21,1075,25,Katerina Siniakova,3064,siniakovakaterina,Katerina Siniakova,https://scontent-lga3-1.cdninstagram.com/vp/19645ed2da2feb363022af2f3ff927c0/5B54CA9E/t51.2885-19/s150x150/23970158_1958501931067790_8835763101090447360_n.jpg,true,false,6619391652,Katerina Siniakova
52,▽4,KAZ,24,1075,22,Zarina Diyas,32452,zarinadiyas,Zarina Diyas,https://scontent-lga3-1.cdninstagram.com/vp/8b7088526af417c1613cfba999761c27/5B99C883/t51.2885-19/s150x150/15258748_208333312947942_8829617660019867648_a.jpg,true,false,211707689,Zarina Diyas
53,0,SRB,25,1075,22,Aleksandra Krunic,9989,alexkrunic,Aleksandra Krunic,https://scontent-lga3-1.cdninstagram.com/vp/a7613091f69eec664ba3858b378f88b3/5B5EA6E9/t51.2885-19/s150x150/30086223_198342680893900_5364105288720842752_n.jpg,true,false,4978248094,Aleksandra Krunic
54,0,CRO,21,1060,25,Donna Vekic,80585,donnavekic,Donna Vekic,https://scontent-lga3-1.cdninstagram.com/vp/75961f5f83910f75983fba2619cb4528/5B98B6FA/t51.2885-19/s150x150/19624833_122733808332983_4056620332176375808_a.jpg,true,false,51444348,Donna Vekic
55,△1,BLR,24,1018,22,Aliaksandra Sasnovich,16836,aliaksandrasasnovich,Aliaksandra Sasnovich,https://scontent-lga3-1.cdninstagram.com/vp/2be6dbee58d7527b90cba077ffa6377e/5B99EC28/t51.2885-19/s150x150/30087151_196774980937631_3613314904762613760_n.jpg,true,false,4062137875,Aliaksandra Sasnovich
56,△1,GER,23,993,24,Carina Witthoeft,62135,carina_witthoeft,Carina Witthöft,https://scontent-lga3-1.cdninstagram.com/vp/c333a053c4a80d723101dff750190807/5B7716A2/t51.2885-19/s150x150/21227137_335283720254479_2762306889277505536_a.jpg,true,false,576211041,Carina Witthoeft
57,△1,AUS,34,992,22,Samantha Stosur,20586,samstosur,Samantha Stosur,https://scontent-lga3-1.cdninstagram.com/vp/686957eb7ad92f81063a1f8534f21191/5B6D4D39/t51.2885-19/10891058_1526554560953198_1560157576_a.jpg,true,false,200638845,Samantha Stosur
58,△1,ITA,26,986,19,Camila Giorgi,111584,camila_giorgi_official,🎀Camila Giorgi🎀,https://scontent-lga3-1.cdninstagram.com/vp/14a066e8014a9ac3265c961b09f42293/5B6B157C/t51.2885-19/s150x150/26863955_324578091367646_3225829264624451584_n.jpg,true,false,1274310402,Camila Giorgi
59,△1,TPE,32,975,29,Su-Wei Hsieh,0,suweihsieh,Su Wei Hsieh,https://scontent-lga3-1.cdninstagram.com/vp/d998fbeb12471c8608dab06820636c70/5B79BB25/t51.2885-19/s150x150/29414579_1732635126821630_7810048769625423872_n.jpg,false,true,2312357364,Su-Wei Hsieh
60,△1,GER,30,960,33,Tatjana Maria,1329,tatjanamariaaa,Tatjana Maria,https://scontent-lga3-1.cdninstagram.com/vp/0a6f23a1cb1c81cfefc54b6c8b97faa5/5B7B4580/t51.2885-19/s150x150/29415504_574620152901175_4804474954177314816_n.jpg,false,false,378896711,Tatjana Maria
