rank,rank_last_week,events,avg_points,total_points,points_lost,points_gained,country,fetch_name,followers,username,full_name,profile_pic_url,is_verified,is_private,id,name
62,62,48,2.12,101.57,-43.19,8.19,RSA,Charl Schwartzel,9484,charlschwartzel,Charlschwartzel,https://scontent-lga3-1.cdninstagram.com/vp/6c53050cbcced2032c99f3e723139794/5B5D1BF1/t51.2885-19/s150x150/16584097_1908560069376718_7452612404317257728_a.jpg,true,false,1642907208,Charl Schwartzel
63,63,49,2.11,103.44,-26.13,35.12,USA,Charles Howell III,1715,fresh_prince93,Charles Howell III,https://scontent-lga3-1.cdninstagram.com/vp/11ab8978006bc914541e3a1263dc455c/5B6F32B4/t51.2885-19/s150x150/17076099_378945052504483_8286469584597286912_a.jpg,false,true,39860127,Charles Howell III
64,64,47,2.09,98.08,-33.57,30.53,USA,Ryan Moore,13095,ryanmoorepga,Ryan Moore,https://scontent-lga3-1.cdninstagram.com/vp/f56a63e97e569598d6e3afcca5d379ba/5B6170F3/t51.2885-19/s150x150/1169732_553129668170297_1504808351_a.jpg,true,false,791348967,Ryan Moore
65,65,47,2.06,96.59,-20.40,14.33,USA,Peter Uihlein,22592,peteruihlein,Peter Uihlein,https://scontent-lga3-1.cdninstagram.com/vp/d3cb08295ea7141a3f446ce560032cb8/5B5FB8D2/t51.2885-19/s150x150/23595035_148256469132495_8857680529655332864_n.jpg,true,false,566137476,Peter Uihlein
66,66,46,2.04,93.90,-22.38,32.01,FRA,Alexander Levy,13674,alexlevygolf83,Alexander Levy,https://scontent-lga3-1.cdninstagram.com/vp/d1ad2784c26e099446b456cbbd2b68c0/5B643F27/t51.2885-19/s150x150/17438453_590950867769806_2263622883693559808_a.jpg,true,false,514326427,Alexander Levy
67,67,52,2.01,104.71,-28.17,50.87,USA,James Hahn,12306,jameshahnpga,James Hahn,https://scontent-lga3-1.cdninstagram.com/vp/4da3ca469b11ec99fb391c38862bed6d/5B6BEE47/t51.2885-19/s150x150/10576108_1226226494059852_1827581727_a.jpg,true,false,211361228,James Hahn
68,68,52,2.00,104.22,-18.41,31.05,IRL,Paul Dunne,15796,pauldunne11,Paul Dunne,https://scontent-lga3-1.cdninstagram.com/vp/5992e139f5913c7754cd9c36f42da4f0/5B6F5C6E/t51.2885-19/s150x150/23098990_143136152997017_6926389798575800320_n.jpg,false,false,1580976181,Paul Dunne
69,69,52,2.00,103.94,-32.49,41.86,ARG,Emiliano Grillo,10887,grilloemiliano,Emiliano Grillo,https://scontent-lga3-1.cdninstagram.com/vp/d03a48330e99302d05ac4249a1a750d5/5B6929DD/t51.2885-19/s150x150/23733780_370194273420674_7476393294637826048_n.jpg,true,false,1118280494,Emiliano Grillo
70,70,40,1.97,78.95,-13.13,9.66,USA,Julian Suri,4255,juliansuri,Julian Suri,https://scontent-lga3-1.cdninstagram.com/vp/3042f7bac17252bc6e38ebf30e654df7/5B7B5DAB/t51.2885-19/s150x150/24174789_442183792843850_2016635008311099392_n.jpg,true,false,542614645,Julian Suri
71,71,52,1.94,100.78,-16.73,29.78,USA,Chesson Hadley,1965,chadleyprogolf,Chesson Hadley,https://scontent-lga3-1.cdninstagram.com/vp/d5ec386cc1f0096ee529e31008580c76/5B572C9C/t51.2885-19/11311240_876506602418669_1691642339_a.jpg,false,false,804663042,Chesson Hadley
