name,rank,ch,age,country,points,win/lose,lose,tournament,prev_tourn,next_pts,max_pts
Vladyslav Orlov,890,NCH   (894),22.9,UKR18,15,4,-,-,Qual. Sharm El Sheikh 13 WLost in Sharm El Sheikh 13 R32Lost in Sharm El Sheikh 14 R32,-,-
Mats Rosenkranz,891,NCH   (895),19.6,GER53,15,4,-,-,-,-,-
Alberto Romero De Avila Senise,892,679,20.3,ESP53,15,-13,-1,Majadahonda R32,Qual. Madrid WLost in Madrid R32,-,-
François-Arthur Vibert,893,591,27.7,FRA76,15,3,-,Qual. Angers R3,-,-,-
Andrey Chepelev,894,NCH   (897),19.7,RUS43,15,3,-,-,Qual. Antalya 14 WLost in Antalya 14 R32,-,-
Grega Žemlja,895,43,31.5,SLO5,14,3,-,-,-,-,-
Trevor Allen Johnson,896,NCH   (899),22.3,USA71,14,3,-,-,-,-,-
Marko Miladinovic,897,NCH   (901),17.3,SRB16,14,4,-,-,-,-,-
Alexis Gautier,898,868,21,FRA77,14,5,-,Angers R32,Qual. Djerba 8 WLost in Djerba 8 R32Lost in La Grande Motte QF,-,-
Ryan Nijboer,899,NCH   (904),18.7,NED19,14,5,-,Qual. Majadahonda R3,Lost in Qual. Madrid R2,-,-
Khumoyun Sultanov,900,726,19.4,UZB4,14,6,-,-,Lost in Bukhara QF,-,-
Fernando Bogajo,901,NCH   (904),25.5,ESP54,14,4,-,-,Lost in Djerba 8 R32Lost in Qual. Madrid R3,-,-
Mazen Osama,902,473,23.1,EGY5,14,5,-,-,-,-,-
Facundo Juarez,903,895,20.5,ARG41,14,5,-,-,Qual. Santa Margherita 6 WLost in Santa Margherita 6 R32Qual. Madrid WLost in Madrid R16Lost in Qual. Majadahonda R2,-,-
Riccardo Maiga,904,780,28.7,SUI12,14,5,-,-,Qual. Djerba 8 WLost in Djerba 8 R32,-,-
Mateo Nicolás Martínez,904,390,24.1,ARG42,14,393,10,-,Qual. Djerba 8 WLost in Djerba 8 F,-,-
José Olivares,906,670,21.2,DOM4,14,4,-,-,Lost in Qual. Guadalajara R2,-,-
Takashi Saito,907,556,23.1,JPN32,14,4,-,-,-,-,-
Michel Vernier,908,780,25.5,CHI8,14,181,6,-,Qual. Sharm El Sheikh 13 WLost in Sharm El Sheikh 13 SFLost in Sharm El Sheikh 14 QF,-,-
Viktor Filipenko,908,692,26.5,HUN7,14,4,-,-,-,-,-
Temur Ismailov,910,397,23.2,UZB5,14,3,-,-,-,-,-
Diego Hidalgo,911,767,25,ECU5,14,3,-,Qual. Majadahonda R3,Lost in Qual. Madrid R3,-,-
Nicola Ghedin,912,450,29.5,ITA59,14,5,-,-,-,-,-
Michael Zhu,913,909,25.6,USA72,14,2,-,-,Qual. Sharm El Sheikh 13 WLost in Sharm El Sheikh 13 R32Lost in Sharm El Sheikh 14 R32,-,-
Thales Turini,914,283,28.7,BRA27,14,2,-,Sao Jose do Rio Preto R32,Lost in Qual. Sarasota R1,-,-
Niels Lootsma,915,423,23.6,NED20,14,3,-,-,-,-,-
Carlos Eduardo Severino,916,343,27.3,BRA28,14,3,-,Sao Jose do Rio Preto R32,-,-,-
Louis Chaix,917,884,22.9,FRA78,14,4,-,-,Lost in Qual. Madrid R3Lost in Qual. Majadahonda R2,-,-
Cing Yang Meng,918,844,19.7,TPE9,14,-27,-1,-,-,-,-
Muhammet Haylaz,919,729,22.4,TUR7,14,-27,-1,-,Lost in Antalya 14 R32,-,-
Rio Noguchi,920,CH,19.3,JPN33,14,2,-,-,Lost in Qual. Matsuyama R2,-,-
Brandon Holt,921,902,20,USA73,13,2,-,-,-,-,-
Abhinav Sanjeev Shanmugam,922,NCH   (924),19.4,IND16,13,2,-,-,-,-,-
Huixin Wang,923,920,21.7,CHN13,13,4,-,-,-,-,-
Marcin Gawron,923,262,29.9,POL9,13,2,-,-,-,-,-
Alexander Ritschard,925,648,24,USA74,13,19,1,-,Qual. Little Rock WLost in Little Rock R16,-,-
Sergey Fomin,926,921,17.2,UZB6,13,2,-,-,-,-,-
Alexandre Tsuchiya,927,649,25.3,BRA29,13,2,-,Sao Jose do Rio Preto R32,-,-,-
Scott Puodziunas,928,891,28.4,AUS35,13,2,-,-,-,-,-
Isaiah Strode,929,NCH   (948),20.6,USA75,13,19,1,-,Lost in Little Rock R16Lost in Orange Park R32,-,-
Evan Hoyt,930,542,23.2,GBR24,13,24,1,-,Lost in Sharm El Sheikh 13 R16Lost in Sharm El Sheikh 14 SF,-,-
Masato Shiga,931,479,26.7,JPN34,13,-,-,-,-,-,-
Marc Fornell Mestres,932,236,36.2,ESP55,13,1,-,-,Lost in Qual. Cascais R3Lost in Cascais R16Lost in Qual. Majadahonda R1,-,-
Daniel Nolan,933,606,21.1,AUS36,13,1,-,-,-,-,-
Federico Moreno,934,849,23.7,ARG43,13,-2,-,Qual. Majadahonda R2,Qual. Santa Margherita 6 WLost in Santa Margherita 6 R32Lost in Qual. Madrid R3Lost in Madrid R32,-,-
Johannes Härteis,935,640,22.1,GER54,13,-15,-1,-,-,-,-
Clément Larrière,936,925,20.9,FRA79,13,-1,-,-,Lost in La Grande Motte R32,-,-
Caio Silva,937,610,26.5,BRA30,13,-1,-,Sao Jose do Rio Preto R32,Lost in Qual. Sarasota R1,-,-
Dragos Nicolae Madaras,938,650,20.6,SWE11,13,-1,-,-,Qual. Santa Margherita 6 WLost in Santa Margherita 6 R32,-,-
Mate Pavić,939,295,24.8,CRO15,12,-1,-,-,-,-,-
Pere Riba,940,65,30,ESP56,12,-1,-,-,Lost in Qual. Sarasota R1Lost in Qual. Tallahassee R3,-,-
Julian Cash,941,935,21.6,GBR25,12,-1,-,-,-,-,-
Isak Arvidsson,942,489,25.7,SWE12,12,-42,-2,-,-,-,-
Sebastian Baez,943,NCH)    1116),17.3,ARG44,12,191,6,-,Lost in Antalya 14 SFLost in Antalya 15 R32,-,-
Jea Moon Lee,944,669,24.8,KOR12,12,-2,-,-,-,-,-
Bastian Trinker,945,241,27.9,AUT19,12,-2,-,-,-,-,-
Jacob Dunbar,946,936,22.5,USA76,12,-5,-,-,Lost in Little Rock R32Lost in Orange Park R16,-,-
Lukas Ruepke,947,767,24.7,GER55,12,-2,-,-,-,-,-
Jaimee Floyd Angele,948,946,18,FRA80,12,-2,-,Abuja 2 R32,Lost in Abuja SF,-,-
Matthew Christopher Romios,949,947,19,AUS37,12,-2,-,-,-,-,-
Tyler Lu,950,946,22.6,USA77,12,-1,-,-,Lost in Qual. Nanchang R1Lost in Qual. Anning R1,-,-
Petr Hájek,951,910,21.1,CZE25,12,-1,-,-,-,-,-
Franjo Raspudic,952,634,27.4,CRO16,12,-1,-,-,-,-,-
Gabriel Donev,953,947,21.8,BUL5,12,-1,-,-,-,-,-
Hady Habib,954,NCH   (955),19.6,USA78,12,1,-,-,-,-,-
Vitaliy Sachko,955,937,20.7,UKR19,12,1,-,-,Lost in Antalya 14 R32Lost in Qual. Antalya 15 R3,-,-
Mike Urbanija,956,477,28.3,SLO6,12,1,-,-,Qual. Antalya 15 WLost in Antalya 15 R32Lost in Qual. Antalya 16 R2,-,-
Eduardo Dischinger,957,540,25.9,BRA31,12,1,-,-,Lost in Qual. Porto R2Lost in Qual. Cascais R3,-,-
Tim Van Terheijden,958,780,28.2,NED21,12,1,-,-,-,-,-
Alexander Weis,959,NCH   (960),20.9,ITA60,12,1,-,-,Lost in Sharm El Sheikh 14 R32,-,-
Goran Marković,960,957,22.5,SRB17,12,3,-,-,-,-,-
Jules Marie,961,228,26.6,FRA81,11,3,-,Qual. Angers R3,Lost in La Grande Motte R32,-,-
Nils Langer,962,188,28.2,GER56,11,3,-,-,-,-,-
Kirill Dmitriev,963,363,26.7,RUS44,11,3,-,-,-,-,-
Logan Smith,964,957,21.4,USA79,11,3,-,-,-,-,-
Julian Zlobinsky,965,958,22.2,USA80,11,3,-,-,-,-,-
Yusuke Watanuki,966,477,27.9,JPN35,11,4,-,-,-,-,-
Kaito Uesugi,967,711,22.8,JPN36,11,2,-,-,Qual. Matsuyama WLost in Matsuyama R32,-,-
Gabi Adrian Boitan,968,963,18.7,ROU9,11,3,-,-,-,-,-
Chun Hun Wong,968,NCH   (971),22.4,HKG1,11,3,-,-,-,-,-
Sherif Sabry,970,351,31.6,EGY6,11,-18,-1,-,-,-,-
Alexander Day,971,969,22.6,CAN13,11,3,-,-,-,-,-
Tigre Hank,972,416,26.5,MEX4,11,1,-,Leon R32,Lost in Guadalajara R32,-,-
Piotr Matuszewski,973,763,20,POL10,11,2,-,-,Lost in Qual. Sharm El Sheikh 13 R1,-,-
Dusty H. Boyer,974,NCH   (976),24.8,USA81,11,2,-,-,Lost in Qual. Sharm El Sheikh 13 R3Lost in Sharm El Sheikh 14 QF,-,-
Luka Pavlovic,975,NCH   (977),18,FRA82,11,2,-,-,Lost in La Grande Motte R32,-,-
Adria Mas Mascolo,976,796,25,ESP57,11,2,-,-,-,-,-
Ioannis Stergiou,977,NCH   (979),23,GRE2,11,2,-,-,-,-,-
Calum Puttergill,978,NCH   (980),24.5,AUS38,11,2,-,-,-,-,-
Connor Farren,979,823,23.5,USA82,11,3,-,-,Lost in La Grande Motte R32,-,-
James Frawley,980,886,24,AUS39,11,3,-,-,-,-,-
Frederik Press,981,980,23,GER57,11,-,-,-,Lost in Sharm El Sheikh 13 R32Lost in Sharm El Sheikh 14 R16,-,-
Ivan Davydov,982,719,21.5,RUS45,11,-21,-1,-,Lost in Qual. Angers R2,-,-
Enrico Dalla Valle,983,932,20,ITA61,11,1,-,Santa Margherita 8 R32,Lost in Sharm El Sheikh 13 R32,-,-
Adrian Andrzejczuk,984,887,22,POL11,11,-22,-1,-,Lost in Qual. Sharm El Sheikh 13 R2,-,-
Florian Fallert,985,412,25.9,GER58,11,-,-,Santa Margherita 8 R32,Lost in Santa Margherita 7 R32Qual. Santa Margherita 8 W,-,-
Jose Fco. Vidal Azorin,986,632,24.8,ESP58,11,-,-,-,Lost in La Grande Motte R16,-,-
Takao Suzuki,987,102,41.5,JPN37,10,-,-,-,-,-,-
Guillermo Durán,988,385,29.8,ARG45,10,-,-,-,Lost in Qual. Francavilla R1,-,-
Riccardo Ghedin,989,222,32.3,ITA62,10,-,-,-,-,-,-
Juraj Masar,990,608,25.7,SVK10,10,-,-,-,Lost in Qual. Djerba 10 R2,-,-
Andrzej Kapaś,991,323,28.6,POL12,10,-65,-3,-,-,-,-
Michael Geerts,992,435,23.2,BEL23,10,3,-,-,-,-,-
Francesco Forti,993,991,18.7,ITA63,10,-2,-,-,-,-,-
Sergio Luis Hernandez Ramirez,993,991,18.6,COL10,10,-2,-,Sao Jose do Rio Preto R32,-,-,-
Ezekiel Clark,995,986,19.7,USA83,10,-2,-,-,-,-,-
Víctor Núñez,996,930,26.9,CHI9,10,-1,-,-,-,-,-
Jolan Cailleau,997,881,22.8,BEL24,10,-,-,-,-,-,-
Kazuki Nishiwaki,998,NCH)    1497),23.4,JPN38,10,562,8,-,Qual. Matsuyama WLost in Matsuyama SF,-,-
