name,rank,ch,age,country,points,win/lose,lose,tournament,prev_tourn,next_pts,max_pts
Yasutaka Uchiyama,230,162,25.7,JPN6,242,-2,-,-,-,-,-
Kamil Majchrzak,231,197,22.2,POL3,242,-2,-,Anning R32,Lost in Nanchang R32,-,-
Zdeněk Kolář,232,218,21.5,CZE4,242,-7,-2,Francavilla R32,-,-,-
Dominik Köpfer,233,225,23.9,GER16,241,-3,-,Tallahassee R32,Lost in Sarasota R32,-,-
Andrea Arnaboldi,234,153,30.3,ITA13,241,-12,-8,Tallahassee R32,Lost in Sarasota R32,-,-
Guilherme Clezar,235,153,25.3,BRA4,239,6,17,Tallahassee R32,Lost in Sarasota QF,-,-
Jan Choinski,236,234,21.8,GER17,233,-2,-,Tallahassee R32,Lost in Qual. Sarasota R3Lost in Sarasota R32,-,-
Tallon Griekspoor,237,218,21.8,NED2,232,2,8,Francavilla R32,Lost in Santa Margherita 6 SF,-,-
Christian Harrison,238,217,23.8,USA25,231,-3,-,Tallahassee R32,Lost in Sarasota R32,-,-
Daniel Elahi Galán,239,233,21.8,COL1,228,-6,-5,Leon R32,Lost in Guadalajara R32,-,-
Andrea Collarini,240,186,26.2,ARG14,228,-3,-2,Francavilla R32,Lost in Santa Margherita 6 SFLost in Santa Margherita 7 F,-,-
Aldin Šetkić,241,165,30.3,BIH3,225,-14,-18,Leon R32,Lost in Guadalajara R32,-,-
Lloyd Harris,242,199,21.1,RSA2,223,-2,-,Anning R32,Lost in Nanchang R32,-,-
Antoine Hoang,243,237,22.4,FRA20,220,-,-,Qual. Francavilla R3,Lost in Qual. Tunis R1,-,-
Lorenzo Giustino,244,165,26.6,ITA14,220,23,27,-,Santa Margherita 6 WLost in Madrid R16Lost in Qual. Barcelona R1,-,-
Vincent Millot,245,135,32.2,FRA21,218,-25,-33,Angers R32,-,-,-
Christopher Eubanks,246,NCH   (284),21.9,USA26,218,44,48,-,Lost in Guadalajara F,-,-
Danilo Petrović,247,242,26.2,SRB10,216,-1,9,Leon R32,Lost in Guadalajara QF,-,-
Nino Serdarušić,248,NCH   (256),21.3,CRO5,216,8,15,Francavilla R32,Antalya 14 WAntalya 15 W,-,-
Cem İlkel,249,228,22.6,TUR1,215,-5,-,Anning R32,Lost in Nanchang R32,-,-
