name,position,rank,team,salary
Luke Kennard,SG,269,Detroit Pistons,2759280
Justise Winslow,SF,270,Miami Heat,2705040
Michael Carter-Williams,PG,271,Charlotte Hornets,2700000
Thon Maker,C,272,Milwaukee Bucks,2684160
Cedi Osman,SF,273,Cleveland Cavaliers,2642857
Donovan Mitchell,SG,274,Utah Jazz,2621280
Myles Turner,C,275,Indiana Pacers,2569920
Gary Harris,SG,276,Denver Nuggets,2550055
Domantas Sabonis,C,277,Indiana Pacers,2550000
Reggie Bullock,SG,278,Detroit Pistons,2500000
Manu Ginobili,SG,279,San Antonio Spurs,2500000
Malcolm Delaney,PG,280,Atlanta Hawks,2500000
Bam Adebayo,C,281,Miami Heat,2490360
Bruno Caboclo,SF,282,Toronto Raptors,2451225
Trey Lyles,PF,283,Denver Nuggets,2441400
Dario Saric,PF,284,Philadelphia 76ers,2422560
Taurean Prince,SF,285,Atlanta Hawks,2422560
Rodney Hood,SG,286,Utah Jazz,2386864
Justin Jackson,SF,287,Sacramento Kings,2365560
Shabazz Napier,PG,288,Portland Trail Blazers,2361360
Clint Capela,C,289,Houston Rockets,2334528
Devin Booker,SG,290,Phoenix Suns,2319360
Dante Cunningham,SF,291,Brooklyn Nets,2300000
Justin Patton,C,292,Minnesota Timberwolves,2247480
Guerschon Yabusele,PF,293,Boston Celtics,2247480
Cameron Payne,PG,294,Chicago Bulls,2203440
Mo Williams,PG,295,Denver Nuggets,2194500
Denzel Valentine,SF,296,Chicago Bulls,2186400
Sean Kilpatrick,SG,297,Brooklyn Nets,2163006
Kyle Anderson,SF,298,San Antonio Spurs,2151704
D.J. Wilson,PF,299,Milwaukee Bucks,2135040
Darius Miller,SF,300,New Orleans Pelicans,2100000
Kelly Oubre Jr.,SF,301,Washington Wizards,2093040
Juan Hernangomez,PF,302,Denver Nuggets,2076840
Kendall Marshall,PG,303,Milwaukee Bucks,2048257
T.J. Leaf,PF,304,Indiana Pacers,2028360
Tim Frazier,PG,305,Washington Wizards,2000000
Terry Rozier,PG,306,Boston Celtics,1988520
Kevin Seraphin,C,307,Indiana Pacers,1974159
John Collins,PF,308,Atlanta Hawks,1936920
Rashad Vaughn,G,309,Orlando Magic,1889040
Harry Giles,PF,310,Sacramento Kings,1859400
Sam Dekker,SF,311,LA Clippers,1794600
Terrance Ferguson,SG,312,Oklahoma City Thunder,1785000
Henry Ellenson,PF,313,Detroit Pistons,1780800
Eric Moreland,PF,314,Detroit Pistons,1739333
Jerian Grant,PG,315,Chicago Bulls,1713840
