name,rank,position,team,salary_2017
Arthur Moats,314,LB,PIT,2250000
Chad Henne,309,QB,JAX,2250000
Lane Taylor,312,G,GNB,2250000
James Hanna,315,TE,DAL,2250000
Vincent Rey,311,LB,CIN,2250000
Sam Martin,317,P,DET,2225000
Wesley Woodyard,318,LB,TEN,2200000
Jermaine Kearse,319,WR,NYJ,2200000
Matthew Bosher,320,P,ATL,2200000
Anthony Barr,321,OLB,MIN,2157750
Shane Vereen,322,RB,NYG,2150000
J.J. Wilcox,323,S,PIT,2125000
Vance McDonald,324,TE,PIT,2100000
Mike Daniels,325,DT,GNB,2100000
Vernon Davis,341,TE,WAS,2000000
D.J. Swearinger,345,FS,WAS,2000000
Brice McCain,336,DB,TEN,2000000
Johnathan Cyprien,339,SS,TEN,2000000
Sylvester Williams,343,DT,TEN,2000000
Brynden Trawick,346,S,TEN,2000000
Josh Robinson,331,CB,TAM,2000000
Clinton McDonald,332,DT,TAM,2000000
Kyle Juszczyk,335,FB,SFO,2000000
Vince Williams,330,ILB,PIT,2000000
William Gay,348,DB,PIT,2000000
Ben Ijalana,327,OL,NYJ,2000000
Ted Ginn,352,WR,NOR,2000000
Connor Barwin,328,DE,LAR,2000000
Matt Slauson,342,G,LAC,2000000
D.J. Hayden,334,CB,DET,2000000
Paul Worrilow,350,LB,DET,2000000
J.C. Tretter,349,OG,CLE,2000000
Dion Sims,344,TE,CHI,2000000
Danny Trevathan,347,OLB,CHI,2000000
Lorenzo Alexander,329,LB,BUF,2000000
Brandon Carr,326,DB,BAL,2000000
Robert Alford,337,CB,ATL,2000000
Justin Bethel,333,CB,ARI,2000000
Jermaine Gresham,338,TE,ARI,2000000
Antoine Bethea,340,DB,ARI,2000000
Phil Dawson,351,K,ARI,2000000
Taylor Lewan,353,OT,TEN,1986136
Kenny Stills,354,WR,MIA,1975000
Marquise Goodwin,355,WR,SFO,1950000
Marcus Sherels,357,DB,MIN,1950000
Ed Dickson,356,TE,CAR,1950000
Landry Jones,361,QB,PIT,1900000
Everson Griffen,359,DE,MIN,1900000
Brad Nortman,360,P,JAX,1900000
Kurt Coleman,358,LB,CAR,1900000
Odell Beckham,362,WR,NYG,1839027
Aaron Donald,363,DT,LAR,1802250
Rex Burkhead,364,RB,NWE,1800000
William Compton,369,LB,WAS,1797000
Bashaud Breeland,390,CB,WAS,1797000
Avery Williamson,376,ILB,TEN,1797000
DaQuan Jones,381,DT,TEN,1797000
Kevin Pamphile,377,OT,TAM,1797000
Aaron Lynch,391,DE,SFO,1797000
Chris Hubbard,379,G,PIT,1797000
Justin Ellis,384,DT,OAK,1797000
T.J. Carrie,392,CB,OAK,1797000
Denico Autry,394,DE,OAK,1797000
Devon Kennard,368,OLB,NYG,1797000
Kerry Wynn,374,DE,NYG,1797000
Cameron Fleming,387,OT,NWE,1797000
Shamar Stephen,375,DT,MIN,1797000
Damien Williams,378,RB,MIA,1797000
Michael Thomas,380,S,MIA,1797000
Maurice Alexander,366,SS,LAR,1797000
Michael Schofield,367,OT,LAC,1797000
Korey Toomer,370,ILB,LAC,1797000
Albert Wilson,393,WR,KAN,1797000
Telvin Smith,365,ILB,JAX,1797000
Aaron Colvin,385,CB,JAX,1797000
Donte Moncrief,372,WR,IND,1797000
Andre Hal,395,CB,HOU,1797000
Corey Linsley,397,C,GNB,1797000
Nevin Lawson,396,CB,DET,1797000
Anthony Hitchens,383,OLB,DAL,1797000
Russell Bodine,382,OG,CIN,1797000
Charles Leno,389,OG,CHI,1797000
E.J. Gaines,371,CB,BUF,1797000
Ryan Jensen,386,T,BAL,1797000
Terrance West,388,RB,BAL,1797000
John Brown,373,WR,ARI,1797000
Zach Fulton,398,OG,KAN,1788500
Spencer Long,399,OG,WAS,1787000
Richard Rodgers,400,TE,GNB,1787000
Travis Swanson,401,C,DET,1772000
Preston Brown,402,ILB,BUF,1762000
Niles Paul,407,WR,WAS,1750000
Matt Cassel,408,QB,TEN,1750000
Ryan Fitzpatrick,403,QB,TAM,1750000
Joe Hawley,405,G,TAM,1750000
Alan Branch,404,DT,NWE,1750000
Matt Moore,410,QB,MIA,1750000
Scott Tolzien,409,QB,IND,1750000
Allen Barbre,406,T,DEN,1750000
Ereck Flowers,411,OT,NYG,1743338
Kyle Fuller,412,CB,CHI,1740955
Jared Goff,413,QB,LAR,1719894
Ryan Shazier,414,OLB,PIT,1716438
Max Unger,415,C,NOR,1700000
Zach Strief,416,G,NOR,1700000
Larry Warford,417,OG,NOR,1700000
A.J. Klein,418,ILB,NOR,1700000
Ryan Hewitt,419,FB,CIN,1700000
Luke Stocker,420,TE,2TM,1700000
Todd Gurley,421,RB,LAR,1691653
Carson Wentz,422,QB,PHI,1662561
Earl Mitchell,423,DT,SFO,1650000
Josh Hill,424,TE,NOR,1650000
Britton Colquitt,425,P,CLE,1650000
Zack Martin,426,OT,DAL,1642882
C.J. Mosley,427,ILB,BAL,1618365
Trae Waynes,428,CB,MIN,1611761
Giovani Bernard,429,RB,CIN,1600000
Steven Hauschka,430,K,BUF,1600000
Eric Ebron,431,TE,DET,1590337
Calvin Pryor,432,FS,JAX,1587716
Ezekiel Elliott,433,RB,DAL,1584379
Ja'Wuan James,434,OT,MIA,1569327
Zach Brown,438,OLB,WAS,1550000
Garrett Celek,435,TE,SFO,1550000
Josh Martin,436,LB,NYJ,1550000
Derek Anderson,437,QB,CAR,1550000
Desmond Trufant,439,CB,ATL,1526000
Austin Howard,440,T,BAL,1525000
Jalen Ramsey,441,FS,JAX,1511409
Chris Conte,442,DB,TAM,1500000
Bryan Anger,444,P,TAM,1500000
Robbie Gould,461,K,SFO,1500000
Alejandro Villanueva,457,OL,PIT,1500000
Jamize Olawale,462,FB,OAK,1500000
Kelvin Beachum,448,T,NYJ,1500000
Keenan Robinson,445,OLB,NYG,1500000
D.J. Fluker,449,OT,NYG,1500000
Mike Gillislee,453,RB,NWE,1500000
Duron Harmon,460,FS,NWE,1500000
Anthony Fasano,443,TE,MIA,1500000
Jahleel Addae,456,S,LAC,1500000
Chris Hairston,458,OL,LAC,1500000
Lerentee McCray,455,LB,JAX,1500000
Barkevious Mingo,465,OLB,IND,1500000
John Simon,466,DE,IND,1500000
Shane Lechler,446,P,HOU,1500000
Davon House,447,DB,GNB,1500000
Menelik Watson,464,OT,DEN,1500000
Benson Mayowa,463,DE,DAL,1500000
Jason McCourty,454,DB,CLE,1500000
Zach Miller,451,TE,CHI,1500000
Jordan Poyer,452,CB,BUF,1500000
Ryan Groy,459,OG,BUF,1500000
Levine Toilolo,450,TE,ATL,1500000
Danny Shelton,467,DT,CLE,1498970
Jermon Bushrod,468,T,MIA,1475000
Deone Bucannon,469,SS,ARI,1471255
Jeff Heath,470,S,DAL,1471000
Andrus Peat,471,OT,NOR,1470773
Robert Golden,472,S,PIT,1465000
Matt Bryant,473,K,ATL,1450000
DeVante Parker,474,WR,MIA,1423776
Melvin Gordon,475,RB,LAC,1404980
Josh Kline,477,OL,TEN,1400000
Jurrell Casey,478,DL,TEN,1400000
Garry Gilliam,479,T,SFO,1400000
Mike Remmers,476,T,MIN,1400000
Nate Allen,481,DB,MIA,1400000
Alex Boone,480,T,ARI,1400000
Ronnie Stanley,482,OT,BAL,1381106
Greg Zuerlein,483,K,LAR,1375000
Eddie Lacy,484,RB,SEA,1365000
Teddy Bridgewater,485,QB,MIN,1354023
Eric Decker,491,WR,TEN,1350000
Erik Walden,492,DE,TEN,1350000
Marshawn Lynch,490,RB,OAK,1350000
Marcus Cannon,487,OL,NWE,1350000
Nathan Stupar,486,OLB,NOR,1350000
Michael Hoomanawanui,489,TE,NOR,1350000
Jordan Mills,488,OT,BUF,1350000
Kevin Johnson,493,CB,HOU,1348583
Arik Armstead,494,DE,SFO,1329785
Marcus Peters,495,CB,KAN,1306287
Johnson Bademosi,501,DB,NWE,1300000
Nick Perry,497,DE,GNB,1300000
Sean Lee,498,LB,DAL,1300000
T.J. Johnson,496,C,CIN,1300000
Patrick DiMarco,499,FB,BUF,1300000
Andre Roberts,500,WR,ATL,1300000
Morgan Moses,503,OT,WAS,1297000
Devonta Freeman,502,RB,ATL,1297000
Travis Frederick,504,C,DAL,1296000
Cameron Erving,505,OT,KAN,1292188
Nelson Agholor,506,WR,PHI,1287489
Cedric Ogbuehi,507,OT,CIN,1282789
Ethan Westbrooks,508,DE,LAR,1282175
DeForest Buckner,509,DE,SFO,1276863
Senio Kelemete,511,T,NOR,1275000
Tyron Smith,510,OT,DAL,1275000
Bud Dupree,512,DE,PIT,1273390
Shane Ray,513,DE,DEN,1263991
Tyler Bray,514,QB,KAN,1252500
Karl Klug,516,DL,TEN,1250000
Daren Bates,525,LB,TEN,1250000
Aldrick Robinson,533,WR,SFO,1250000
Joe Haden,515,DB,PIT,1250000
Tyson Alualu,530,DT,PIT,1250000
Chris Maragos,521,DB,PHI,1250000
Donnie Jones,532,P,PHI,1250000
Jason Pierre-Paul,531,DE,NYG,1250000
Dont'a Hightower,519,ILB,NWE,1250000
Danny Amendola,528,WR,NWE,1250000
Michael Brockers,522,DT,LAR,1250000
Al Woods,529,DT,IND,1250000
Akeem Spence,517,DT,DET,1250000
Kyle Wilber,523,OLB,DAL,1250000
Andre Smith,524,T,CIN,1250000
Brandon LaFell,527,WR,CIN,1250000
Kendall Wright,534,WR,CHI,1250000
Ben Watson,520,TE,BAL,1250000
Kemal Ishmael,518,DB,ATL,1250000
Jack Crawford,526,DE,ATL,1250000
D.J. Humphries,535,OT,ARI,1245192
Cornelius Washington,536,DE,DET,1237500
Shaq Thompson,537,OLB,CAR,1235793
Breshad Perriman,538,WR,BAL,1226392
Mason Foster,539,LB,WAS,1225000
Byron Jones,540,CB,DAL,1216995
Laken Tomlinson,541,OG,SFO,1212296
Harry Douglas,544,WR,TEN,1200000
Darrius Heyward-Bey,543,WR,PIT,1200000
Ryan Allen,545,P,NWE,1200000
Dion Lewis,546,RB,NWE,1200000
Marcus Gilchrist,547,DB,HOU,1200000
Alfred Morris,542,RB,DAL,1200000
Xavier Su'a-Filo,548,OG,HOU,1177036
Phillip Dorsett,549,WR,NWE,1174583
Jack Conklin,550,OT,TEN,1172621
Demarcus Lawrence,551,DE,DAL,1170907
Leonard Floyd,552,OLB,CHI,1167403
Damarious Randall,553,FS,GNB,1154612
Linval Joseph,554,DT,MIN,1150000
Jahri Evans,556,T,GNB,1150000
Eric Wood,555,C,BUF,1150000
Eli Apple,557,CB,NYG,1138742
Malcom Brown,558,DT,NWE,1127112
Marqise Lee,559,WR,JAX,1125549
Brad Wing,560,P,NYG,1125000
Cody Davis,561,S,LAR,1111111
