name,rank,move,country,age,points,tournaments
Urszula Radwanska,517,▽4,POL,27,61,12
Jodie Burrage,518,▽4,GBR,18,60,20
Erina Hayashi,519,▽4,JPN,23,60,7
Kaylah Mcphee,520,▽4,AUS,20,60,15
Belinda Woolcock,521,▽2,AUS,23,59,12
Elyne Boeykens,522,▽16,BEL,27,59,18
Xinyu Wang,523,△16,CHN,16,58,10
Freya Christie,524,△16,GBR,20,58,19
Sviatlana Pirazhenka,525,▽5,BLR,25,58,14
Cristina Bucsa,526,▽2,ESP,20,58,16
Nika Kukharchuk,527,▽5,RUS,31,58,18
Camilla Scala,528,▽5,ITA,23,58,21
Kaja Juvan,529,▽2,SLO,17,57,11
Fatma Al Nabhani,530,▽4,OMA,26,56,15
Rutuja Bhosale,531,△2,IND,22,56,15
Ana Vrljic,532,▽4,CRO,33,56,16
Masa Jovanovic,533,▽4,AUS,23,55,13
Irina Ramialison,534,▽4,FRA,26,55,11
Ekaterina Yashina,535,▽4,RUS,24,55,14
Alice Rame,536,△1,FRA,20,55,15
Margot Yerolymos,537,△98,FRA,21,55,16
Risa Ushijima,538,0,JPN,21,55,16
Carolina Alves,539,▽7,BRA,21,55,18
Reka-Luca Jani,540,▽6,HUN,26,54,15
Lauren Albanese,541,▽6,USA,28,54,12
Daria Kruzhkova,542,▽21,RUS,19,54,13
Yuki Chiang,543,▽7,USA,22,54,14
Mariam Bolkvadze,544,△3,GEO,20,54,15
Maddison Inglis,545,▽4,AUS,20,53,11
Michele Zmau,546,▽1,ITA,21,53,13
Daria Lodikova,547,▽1,RUS,21,53,14
Nina Alibalic,548,▽5,AUS,19,53,14
Ramu Ueda,549,▽5,JPN,20,53,21
Akiko Omae,550,▽25,JPN,25,52,17
Hua-Chen Lee,551,△23,TPE,24,52,8
Kamila Kerimbayeva,552,▽51,KAZ,22,52,10
Fanny Ostlund,553,▽5,SWE,20,52,17
Alina Silich,554,▽5,RUS,21,52,20
Victoria Kan,555,▽4,RUS,22,51,9
